district,Sampleid,Latitude,Longitude
Amolatar,AM-00-22-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-23-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-24-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-25-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-26-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-27-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-28-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-29-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-30-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-31-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-32-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-33-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-34-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-35-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-36-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-37-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-38-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-39-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-40-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-41-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-42-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-43-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-44-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-45-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-46-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-47-PRX-00-1,1.6374697,32.8438088
Amolatar,AM-00-48-PRX-00-1,1.6374697,32.8438088
